date,time,origin,destination,total_count
2018-02-2,00:00:00,AM,AM,952
2018-02-2,00:00:00,AM,BD,40
2018-02-2,00:00:00,AM,BK,40
2018-02-2,00:00:00,AM,BM,40
2018-02-2,00:00:00,AM,BP,40
2018-02-2,00:00:00,AM,BS,161
2018-02-2,00:00:00,AM,BT,40
2018-02-2,00:00:00,AM,CH,40
2018-02-2,00:00:00,AM,CK,40
2018-02-2,00:00:00,AM,DT,40
2018-02-2,00:00:00,AM,GL,40
2018-02-2,00:00:00,AM,HG,61
2018-02-2,00:00:00,AM,JE,40
2018-02-2,00:00:00,AM,JW,40
2018-02-2,00:00:00,AM,KL,40
2018-02-2,00:00:00,AM,LK,40
2018-02-2,00:00:00,AM,MP,40
2018-02-2,00:00:00,AM,NE,40
2018-02-2,00:00:00,AM,NT,40
2018-02-2,00:00:00,AM,NV,40
2018-02-2,00:00:00,AM,OR,40
2018-02-2,00:00:00,AM,OT,40
2018-02-2,00:00:00,AM,PG,40
2018-02-2,00:00:00,AM,PL,40
2018-02-2,00:00:00,AM,PR,40
2018-02-2,00:00:00,AM,QT,40
2018-02-2,00:00:00,AM,RC,40
2018-02-2,00:00:00,AM,SB,40
2018-02-2,00:00:00,AM,SE,54
2018-02-2,00:00:00,AM,SG,252
2018-02-2,00:00:00,AM,SI,40
2018-02-2,00:00:00,AM,SK,40
2018-02-2,00:00:00,AM,SL,40
2018-02-2,00:00:00,AM,SR,40
2018-02-2,00:00:00,AM,TM,40
2018-02-2,00:00:00,AM,TN,40
2018-02-2,00:00:00,AM,TP,40
2018-02-2,00:00:00,AM,WC,40
2018-02-2,00:00:00,AM,WD,40
2018-02-2,00:00:00,AM,YS,76
2018-02-2,01:00:00,AM,AM,1126
2018-02-2,01:00:00,AM,BD,40
2018-02-2,01:00:00,AM,BK,40
2018-02-2,01:00:00,AM,BL,40
2018-02-2,01:00:00,AM,BM,40
2018-02-2,01:00:00,AM,BP,40
2018-02-2,01:00:00,AM,BS,170
2018-02-2,01:00:00,AM,BT,40
2018-02-2,01:00:00,AM,CH,40
2018-02-2,01:00:00,AM,CK,40
2018-02-2,01:00:00,AM,CL,40
2018-02-2,01:00:00,AM,DT,40
2018-02-2,01:00:00,AM,GL,40
2018-02-2,01:00:00,AM,HG,72
2018-02-2,01:00:00,AM,JE,40
2018-02-2,01:00:00,AM,JW,40
2018-02-2,01:00:00,AM,KL,40
2018-02-2,01:00:00,AM,MD,40
2018-02-2,01:00:00,AM,ME,40
2018-02-2,01:00:00,AM,MP,40
2018-02-2,01:00:00,AM,MS,40
2018-02-2,01:00:00,AM,MU,40
2018-02-2,01:00:00,AM,NT,40
2018-02-2,01:00:00,AM,NV,40
2018-02-2,01:00:00,AM,OR,40
2018-02-2,01:00:00,AM,OT,40
2018-02-2,01:00:00,AM,PG,40
2018-02-2,01:00:00,AM,PL,40
2018-02-2,01:00:00,AM,PR,40
2018-02-2,01:00:00,AM,QT,40
2018-02-2,01:00:00,AM,RC,40
2018-02-2,01:00:00,AM,RV,40
2018-02-2,01:00:00,AM,SB,40
2018-02-2,01:00:00,AM,SE,57
2018-02-2,01:00:00,AM,SG,278
2018-02-2,01:00:00,AM,SK,40
2018-02-2,01:00:00,AM,SL,40
2018-02-2,01:00:00,AM,SR,40
2018-02-2,01:00:00,AM,TM,40
2018-02-2,01:00:00,AM,TN,40
2018-02-2,01:00:00,AM,TP,46
2018-02-2,01:00:00,AM,TS,40
2018-02-2,01:00:00,AM,WC,40
2018-02-2,01:00:00,AM,WD,42
2018-02-2,01:00:00,AM,YS,81
2018-02-2,02:00:00,AM,AM,986
2018-02-2,02:00:00,AM,BD,40
2018-02-2,02:00:00,AM,BK,40
2018-02-2,02:00:00,AM,BM,40
2018-02-2,02:00:00,AM,BP,40
2018-02-2,02:00:00,AM,BS,154
2018-02-2,02:00:00,AM,BT,40
2018-02-2,02:00:00,AM,CH,40
2018-02-2,02:00:00,AM,CK,40
2018-02-2,02:00:00,AM,CL,40
2018-02-2,02:00:00,AM,DT,40
2018-02-2,02:00:00,AM,GL,40
2018-02-2,02:00:00,AM,HG,57
2018-02-2,02:00:00,AM,JE,40
2018-02-2,02:00:00,AM,JW,40
2018-02-2,02:00:00,AM,KL,40
2018-02-2,02:00:00,AM,MP,40
2018-02-2,02:00:00,AM,MS,40
2018-02-2,02:00:00,AM,MU,40
2018-02-2,02:00:00,AM,NT,40
2018-02-2,02:00:00,AM,NV,40
2018-02-2,02:00:00,AM,OR,40
2018-02-2,02:00:00,AM,OT,40
2018-02-2,02:00:00,AM,PG,40
2018-02-2,02:00:00,AM,PN,40
2018-02-2,02:00:00,AM,PR,40
2018-02-2,02:00:00,AM,QT,40
2018-02-2,02:00:00,AM,RC,40
2018-02-2,02:00:00,AM,RV,40
2018-02-2,02:00:00,AM,SB,40
2018-02-2,02:00:00,AM,SE,40
2018-02-2,02:00:00,AM,SG,289
2018-02-2,02:00:00,AM,SI,40
2018-02-2,02:00:00,AM,SL,40
2018-02-2,02:00:00,AM,SR,40
2018-02-2,02:00:00,AM,TM,40
2018-02-2,02:00:00,AM,TP,45
2018-02-2,02:00:00,AM,TS,40
2018-02-2,02:00:00,AM,WC,40
2018-02-2,02:00:00,AM,WD,42
2018-02-2,02:00:00,AM,YS,70
2018-02-2,03:00:00,AM,AM,981
2018-02-2,03:00:00,AM,BD,40
2018-02-2,03:00:00,AM,BK,40
2018-02-2,03:00:00,AM,BL,40
2018-02-2,03:00:00,AM,BM,40
2018-02-2,03:00:00,AM,BP,40
2018-02-2,03:00:00,AM,BS,155
2018-02-2,03:00:00,AM,BT,40
2018-02-2,03:00:00,AM,CC,40
2018-02-2,03:00:00,AM,CH,40
2018-02-2,03:00:00,AM,CK,40
2018-02-2,03:00:00,AM,CL,40
2018-02-2,03:00:00,AM,DT,40
2018-02-2,03:00:00,AM,GL,40
2018-02-2,03:00:00,AM,HG,42
2018-02-2,03:00:00,AM,JE,40
2018-02-2,03:00:00,AM,JW,40
2018-02-2,03:00:00,AM,KL,40
2018-02-2,03:00:00,AM,ME,40
2018-02-2,03:00:00,AM,MP,40
2018-02-2,03:00:00,AM,MS,40
2018-02-2,03:00:00,AM,MU,40
2018-02-2,03:00:00,AM,NT,40
2018-02-2,03:00:00,AM,NV,40
2018-02-2,03:00:00,AM,OR,40
2018-02-2,03:00:00,AM,OT,40
2018-02-2,03:00:00,AM,PG,40
2018-02-2,03:00:00,AM,PN,40
2018-02-2,03:00:00,AM,PR,40
2018-02-2,03:00:00,AM,QT,40
2018-02-2,03:00:00,AM,RC,40
2018-02-2,03:00:00,AM,RV,40
2018-02-2,03:00:00,AM,SB,40
2018-02-2,03:00:00,AM,SE,40
2018-02-2,03:00:00,AM,SG,246
2018-02-2,03:00:00,AM,SI,40
2018-02-2,03:00:00,AM,SK,40
2018-02-2,03:00:00,AM,SL,40
2018-02-2,03:00:00,AM,SR,40
2018-02-2,03:00:00,AM,SV,40
2018-02-2,03:00:00,AM,TH,40
2018-02-2,03:00:00,AM,TM,40
2018-02-2,03:00:00,AM,TN,40
2018-02-2,03:00:00,AM,TP,45
2018-02-2,03:00:00,AM,TS,40
2018-02-2,03:00:00,AM,WC,40
2018-02-2,03:00:00,AM,WD,40
2018-02-2,03:00:00,AM,YS,54
2018-02-2,04:00:00,AM,AM,1237
2018-02-2,04:00:00,AM,BD,76
2018-02-2,04:00:00,AM,BK,40
2018-02-2,04:00:00,AM,BL,40
2018-02-2,04:00:00,AM,BM,65
2018-02-2,04:00:00,AM,BP,40
2018-02-2,04:00:00,AM,BS,198
2018-02-2,04:00:00,AM,BT,40
2018-02-2,04:00:00,AM,CB,40
2018-02-2,04:00:00,AM,CC,40
2018-02-2,04:00:00,AM,CH,76
2018-02-2,04:00:00,AM,CK,40
2018-02-2,04:00:00,AM,CL,40
2018-02-2,04:00:00,AM,DT,127
2018-02-2,04:00:00,AM,GL,47
2018-02-2,04:00:00,AM,HG,92
2018-02-2,04:00:00,AM,JE,40
2018-02-2,04:00:00,AM,JW,40
2018-02-2,04:00:00,AM,KL,65
2018-02-2,04:00:00,AM,LK,40
2018-02-2,04:00:00,AM,MD,40
2018-02-2,04:00:00,AM,ME,40
2018-02-2,04:00:00,AM,MP,40
2018-02-2,04:00:00,AM,MS,40
2018-02-2,04:00:00,AM,MU,40
2018-02-2,04:00:00,AM,NT,40
2018-02-2,04:00:00,AM,NV,58
2018-02-2,04:00:00,AM,OR,40
2018-02-2,04:00:00,AM,OT,40
2018-02-2,04:00:00,AM,PG,40
2018-02-2,04:00:00,AM,PL,40
2018-02-2,04:00:00,AM,PN,40
2018-02-2,04:00:00,AM,PR,40
2018-02-2,04:00:00,AM,QT,40
2018-02-2,04:00:00,AM,RC,40
2018-02-2,04:00:00,AM,RV,40
2018-02-2,04:00:00,AM,SB,41
2018-02-2,04:00:00,AM,SE,45
2018-02-2,04:00:00,AM,SG,328
2018-02-2,04:00:00,AM,SI,40
2018-02-2,04:00:00,AM,SK,40
2018-02-2,04:00:00,AM,SL,40
2018-02-2,04:00:00,AM,SR,40
2018-02-2,04:00:00,AM,TM,65
2018-02-2,04:00:00,AM,TN,40
2018-02-2,04:00:00,AM,TP,89
2018-02-2,04:00:00,AM,TS,40
2018-02-2,04:00:00,AM,WC,40
2018-02-2,04:00:00,AM,WD,40
2018-02-2,04:00:00,AM,WI,40
2018-02-2,04:00:00,AM,YS,86
2018-02-2,05:00:00,AM,AM,2043
2018-02-2,05:00:00,AM,BD,180
2018-02-2,05:00:00,AM,BK,66
2018-02-2,05:00:00,AM,BL,40
2018-02-2,05:00:00,AM,BM,205
2018-02-2,05:00:00,AM,BP,40
2018-02-2,05:00:00,AM,BS,522
2018-02-2,05:00:00,AM,BT,63
2018-02-2,05:00:00,AM,CB,40
2018-02-2,05:00:00,AM,CC,40
2018-02-2,05:00:00,AM,CH,184
2018-02-2,05:00:00,AM,CK,40
2018-02-2,05:00:00,AM,CL,42
2018-02-2,05:00:00,AM,DT,333
2018-02-2,05:00:00,AM,GL,143
2018-02-2,05:00:00,AM,HG,213
2018-02-2,05:00:00,AM,JE,62
2018-02-2,05:00:00,AM,JW,69
2018-02-2,05:00:00,AM,KL,155
2018-02-2,05:00:00,AM,LK,40
2018-02-2,05:00:00,AM,MD,40
2018-02-2,05:00:00,AM,ME,40
2018-02-2,05:00:00,AM,MP,40
2018-02-2,05:00:00,AM,MS,40
2018-02-2,05:00:00,AM,MU,40
2018-02-2,05:00:00,AM,NA,40
2018-02-2,05:00:00,AM,NE,40
2018-02-2,05:00:00,AM,NT,43
2018-02-2,05:00:00,AM,NV,178
2018-02-2,05:00:00,AM,OR,63
2018-02-2,05:00:00,AM,OT,57
2018-02-2,05:00:00,AM,PG,40
2018-02-2,05:00:00,AM,PL,47
2018-02-2,05:00:00,AM,PN,73
2018-02-2,05:00:00,AM,PR,55
2018-02-2,05:00:00,AM,QT,162
2018-02-2,05:00:00,AM,RC,55
