origin,destination,road,public
ANG MO KIO,BEDOK,20,58
ANG MO KIO,BISHAN,7,34
ANG MO KIO,BOON LAY,29,96
ANG MO KIO,BUKIT BATOK,21,56
ANG MO KIO,BUKIT MERAH,18,55
ANG MO KIO,BUKIT PANJANG,21,63
ANG MO KIO,BUKIT TIMAH,14,35
ANG MO KIO,CENTRAL WATER CATCHMENT,9,33
ANG MO KIO,CHANGI,22,102
ANG MO KIO,CHANGI BAY,1000,102
ANG MO KIO,CHOA CHU KANG,26,50
ANG MO KIO,CLEMENTI,19,60
ANG MO KIO,DOWNTOWN CORE,18,39
ANG MO KIO,GEYLANG,18,43
ANG MO KIO,HOUGANG,14,46
ANG MO KIO,JURONG EAST,24,57
ANG MO KIO,JURONG WEST,30,76
ANG MO KIO,KALLANG,15,48
ANG MO KIO,LIM CHU KANG,26,100
ANG MO KIO,MANDAI,14,43
ANG MO KIO,MARINA EAST,23,63
ANG MO KIO,MARINA SOUTH,20,61
ANG MO KIO,MARINE PARADE,17,60
ANG MO KIO,MUSEUM,16,34
ANG MO KIO,NEWTON,14,28
ANG MO KIO,NORTH-EASTERN ISLANDS,1000,28
ANG MO KIO,NOVENA,12,25
ANG MO KIO,ORCHARD,14,34
ANG MO KIO,OUTRAM,16,45
ANG MO KIO,PASIR RIS,19,70
ANG MO KIO,PAYA LEBAR,17,66
ANG MO KIO,PIONEER,19,47
ANG MO KIO,PUNGGOL,15,56
ANG MO KIO,QUEENSTOWN,1000,56
ANG MO KIO,RIVER VALLEY,18,43
ANG MO KIO,ROCHOR,13,33
ANG MO KIO,SELETAR,11,51
ANG MO KIO,SEMBAWANG,20,31
ANG MO KIO,SENGKANG,17,54
ANG MO KIO,SERANGOON,8,31
ANG MO KIO,SIMPANG,1000,31
ANG MO KIO,SINGAPORE RIVER,19,50
ANG MO KIO,SOUTHERN ISLANDS,17,39
ANG MO KIO,STRAITS VIEW,20,39
ANG MO KIO,SUNGEI KADUT,18,57
ANG MO KIO,TAMPINES,22,67
ANG MO KIO,TANGLIN,17,41
ANG MO KIO,TENGAH,1000,41
ANG MO KIO,TOA PAYOH,13,37
ANG MO KIO,TUAS,39,123
ANG MO KIO,WESTERN ISLANDS,1000,123
ANG MO KIO,WESTERN WATER CATCHMENT,30,93
ANG MO KIO,WOODLANDS,17,38
ANG MO KIO,YISHUN,15,26
BEDOK,ANG MO KIO,22,58
BEDOK,BISHAN,21,53
BEDOK,BOON LAY,33,87
BEDOK,BUKIT BATOK,26,62
BEDOK,BUKIT MERAH,18,44
BEDOK,BUKIT PANJANG,26,68
BEDOK,BUKIT TIMAH,20,54
BEDOK,CENTRAL WATER CATCHMENT,18,73
BEDOK,CHANGI,10,56
BEDOK,CHANGI BAY,1000,56
BEDOK,CHOA CHU KANG,31,72
BEDOK,CLEMENTI,24,50
BEDOK,DOWNTOWN CORE,17,35
BEDOK,GEYLANG,16,21
BEDOK,HOUGANG,18,52
BEDOK,JURONG EAST,29,54
BEDOK,JURONG WEST,35,66
BEDOK,KALLANG,15,31
BEDOK,LIM CHU KANG,38,118
BEDOK,MANDAI,27,82
BEDOK,MARINA EAST,18,57
BEDOK,MARINA SOUTH,16,63
BEDOK,MARINE PARADE,14,36
BEDOK,MUSEUM,18,38
BEDOK,NEWTON,16,42
BEDOK,NORTH-EASTERN ISLANDS,1000,42
BEDOK,NOVENA,15,46
BEDOK,ORCHARD,17,43
BEDOK,OUTRAM,20,44
BEDOK,PASIR RIS,15,27
BEDOK,PAYA LEBAR,13,55
BEDOK,PIONEER,16,37
BEDOK,PUNGGOL,20,57
BEDOK,QUEENSTOWN,1000,57
BEDOK,RIVER VALLEY,21,55
BEDOK,ROCHOR,16,37
BEDOK,SELETAR,21,77
BEDOK,SEMBAWANG,33,68
BEDOK,SENGKANG,22,60
BEDOK,SERANGOON,17,51
BEDOK,SIMPANG,1000,51
BEDOK,SINGAPORE RIVER,22,52
BEDOK,SOUTHERN ISLANDS,13,42
BEDOK,STRAITS VIEW,16,38
BEDOK,SUNGEI KADUT,28,77
BEDOK,TAMPINES,12,32
BEDOK,TANGLIN,23,54
BEDOK,TENGAH,1000,54
BEDOK,TOA PAYOH,15,63
BEDOK,TUAS,44,113
BEDOK,WESTERN ISLANDS,1000,113
BEDOK,WESTERN WATER CATCHMENT,35,83
BEDOK,WOODLANDS,30,75
BEDOK,YISHUN,28,63
BISHAN,ANG MO KIO,11,29
BISHAN,BEDOK,18,53
BISHAN,BOON LAY,25,83
BISHAN,BUKIT BATOK,17,51
BISHAN,BUKIT MERAH,17,46
BISHAN,BUKIT PANJANG,17,59
BISHAN,BUKIT TIMAH,10,37
BISHAN,CENTRAL WATER CATCHMENT,5,29
BISHAN,CHANGI,21,93
BISHAN,CHANGI BAY,1000,93
BISHAN,CHOA CHU KANG,22,67
BISHAN,CLEMENTI,15,48
BISHAN,DOWNTOWN CORE,17,50
BISHAN,GEYLANG,17,38
BISHAN,HOUGANG,14,39
BISHAN,JURONG EAST,20,50
BISHAN,JURONG WEST,26,63
BISHAN,KALLANG,14,51
BISHAN,LIM CHU KANG,27,111
BISHAN,MANDAI,17,39
BISHAN,MARINA EAST,22,68
BISHAN,MARINA SOUTH,19,80
BISHAN,MARINE PARADE,15,56
BISHAN,MUSEUM,15,43
BISHAN,NEWTON,13,36
BISHAN,NORTH-EASTERN ISLANDS,1000,36
BISHAN,NOVENA,8,30
BISHAN,ORCHARD,13,39
BISHAN,OUTRAM,15,47
BISHAN,PASIR RIS,21,65
BISHAN,PAYA LEBAR,14,72
BISHAN,PIONEER,18,59
BISHAN,PUNGGOL,18,56
BISHAN,QUEENSTOWN,1000,56
BISHAN,RIVER VALLEY,17,51
BISHAN,ROCHOR,12,35
BISHAN,SELETAR,13,72
BISHAN,SEMBAWANG,21,46
BISHAN,SENGKANG,20,54
BISHAN,SERANGOON,11,35
BISHAN,SIMPANG,1000,35
BISHAN,SINGAPORE RIVER,18,54
BISHAN,SOUTHERN ISLANDS,16,52
BISHAN,STRAITS VIEW,18,47
BISHAN,SUNGEI KADUT,19,63
BISHAN,TAMPINES,21,62
BISHAN,TANGLIN,13,45
BISHAN,TENGAH,1000,45
BISHAN,TOA PAYOH,9,41
BISHAN,TUAS,34,109
BISHAN,WESTERN ISLANDS,1000,109
BISHAN,WESTERN WATER CATCHMENT,26,79
BISHAN,WOODLANDS,18,55
BISHAN,YISHUN,20,44
BOON LAY,ANG MO KIO,32,103
BOON LAY,BEDOK,30,92
BOON LAY,BISHAN,23,88
BOON LAY,BUKIT BATOK,19,90
BOON LAY,BUKIT MERAH,16,73
BOON LAY,BUKIT PANJANG,21,84
BOON LAY,BUKIT TIMAH,21,94
BOON LAY,CENTRAL WATER CATCHMENT,18,96
BOON LAY,CHANGI,32,139
BOON LAY,CHANGI BAY,1000,139
BOON LAY,CHOA CHU KANG,21,71
BOON LAY,CLEMENTI,10,54
BOON LAY,DOWNTOWN CORE,23,76
BOON LAY,GEYLANG,31,86
BOON LAY,HOUGANG,30,99
BOON LAY,JURONG EAST,11,53
BOON LAY,JURONG WEST,9,34
BOON LAY,KALLANG,27,84
BOON LAY,LIM CHU KANG,23,106
BOON LAY,MANDAI,30,106
BOON LAY,MARINA EAST,30,106
BOON LAY,MARINA SOUTH,22,105
BOON LAY,MARINE PARADE,24,104
BOON LAY,MUSEUM,22,83
BOON LAY,NEWTON,25,90
BOON LAY,NORTH-EASTERN ISLANDS,1000,90
BOON LAY,NOVENA,22,91
BOON LAY,ORCHARD,23,88
BOON LAY,OUTRAM,20,77
BOON LAY,PASIR RIS,35,104
BOON LAY,PAYA LEBAR,33,125
BOON LAY,PIONEER,21,73
BOON LAY,PUNGGOL,35,116
BOON LAY,QUEENSTOWN,1000,116
BOON LAY,RIVER VALLEY,20,84
BOON LAY,ROCHOR,25,86
BOON LAY,SELETAR,31,120
BOON LAY,SEMBAWANG,32,86
BOON LAY,SENGKANG,38,109
BOON LAY,SERANGOON,27,97
BOON LAY,SIMPANG,1000,97
BOON LAY,SINGAPORE RIVER,20,84
BOON LAY,SOUTHERN ISLANDS,21,83
BOON LAY,STRAITS VIEW,21,81
BOON LAY,SUNGEI KADUT,24,102
BOON LAY,TAMPINES,33,109
BOON LAY,TANGLIN,21,84
BOON LAY,TENGAH,1000,84
BOON LAY,TOA PAYOH,24,99
BOON LAY,TUAS,18,91
BOON LAY,WESTERN ISLANDS,1000,91
BOON LAY,WESTERN WATER CATCHMENT,15,61
BOON LAY,WOODLANDS,27,83
BOON LAY,YISHUN,35,89
BUKIT BATOK,ANG MO KIO,24,57
BUKIT BATOK,BEDOK,25,63
BUKIT BATOK,BISHAN,16,51
BUKIT BATOK,BOON LAY,21,96
BUKIT BATOK,BUKIT MERAH,20,55
BUKIT BATOK,BUKIT PANJANG,7,32
BUKIT BATOK,BUKIT TIMAH,17,31
BUKIT BATOK,CENTRAL WATER CATCHMENT,12,49
BUKIT BATOK,CHANGI,28,116
BUKIT BATOK,CHANGI BAY,1000,116
BUKIT BATOK,CHOA CHU KANG,10,38
BUKIT BATOK,CLEMENTI,11,37
BUKIT BATOK,DOWNTOWN CORE,24,54
