,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference
0,2/2/18,0:00:00,AM,ANG MO KIO,103.8421,1.38009,BS,BISHAN,103.84042,1.35496,161,AMBS,7,20,2.86,13
24,2/2/18,0:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,61,AMHG,14,47,3.36,33
48,2/2/18,0:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,54,AMSE,17,52,3.06,35
70,2/2/18,0:00:00,AM,ANG MO KIO,103.8421,1.38009,SG,SERANGOON,103.86782,1.3652,252,AMSG,8,30,3.75,22
94,2/2/18,0:00:00,AM,ANG MO KIO,103.8421,1.38009,YS,YISHUN,103.83756,1.41544,76,AMYS,15,26,1.73,11
680,2/2/18,0:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,70,BDCH,10,56,5.60,46
704,2/2/18,0:00:00,BD,BEDOK,103.92841,1.32405,GL,GEYLANG,103.88953,1.3209,190,BDGL,16,21,1.31,5
728,2/2/18,0:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,62,BDHG,18,49,2.72,31
752,2/2/18,0:00:00,BD,BEDOK,103.92841,1.32405,MP,MARINE PARADE,103.89627,1.30023,140,BDMP,14,31,2.21,17
776,2/2/18,0:00:00,BD,BEDOK,103.92841,1.32405,PR,PASIR RIS,103.9483,1.37862,58,BDPR,15,27,1.80,12
799,2/2/18,0:00:00,BD,BEDOK,103.92841,1.32405,TM,TAMPINES,103.95422,1.34373,315,BDTM,12,32,2.67,20
1396,2/2/18,0:00:00,BK,BUKIT BATOK,103.75474,1.35565,BP,BUKIT PANJANG,103.77304,1.36674,122,BKBP,7,27,3.86,20
1420,2/2/18,0:00:00,BK,BUKIT BATOK,103.75474,1.35565,CK,CHOA CHU KANG,103.74719,1.38555,103,BKCK,10,36,3.60,26
1444,2/2/18,0:00:00,BK,BUKIT BATOK,103.75474,1.35565,CL,CLEMENTI,103.76074,1.3176,46,BKCL,11,38,3.45,27
1468,2/2/18,0:00:00,BK,BUKIT BATOK,103.75474,1.35565,JE,JURONG EAST,103.73479,1.32044,109,BKJE,14,43,3.07,29
1492,2/2/18,0:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,72,BKJW,21,71,3.38,50
1997,2/2/18,0:00:00,BL,BOON LAY,103.70223,1.3148,JW,JURONG WEST,103.70487,1.3416,85,BLJW,9,26,2.89,17
2191,2/2/18,0:00:00,BM,BUKIT MERAH,103.82311,1.27548,DT,DOWNTOWN CORE,103.8543,1.28508,46,BMDT,9,29,3.22,20
2214,2/2/18,0:00:00,BM,BUKIT MERAH,103.82311,1.27548,OT,OUTRAM,103.84206,1.28286,68,BMOT,7,26,3.71,19
2238,2/2/18,0:00:00,BM,BUKIT MERAH,103.82311,1.27548,QT,QUEENSTOWN,103.78434,1.28916,155,BMQT,10,40,4.00,30
2262,2/2/18,0:00:00,BM,BUKIT MERAH,103.82311,1.27548,SI,SOUTHERN ISLANDS,103.83581,1.24299,81,BMSI,8,36,4.50,28
2286,2/2/18,0:00:00,BM,BUKIT MERAH,103.82311,1.27548,SR,SINGAPORE RIVER,103.84121,1.29011,63,BMSR,7,32,4.57,25
2931,2/2/18,0:00:00,BP,BUKIT PANJANG,103.77304,1.36674,BK,BUKIT BATOK,103.75474,1.35565,146,BPBK,10,28,2.80,18
2955,2/2/18,0:00:00,BP,BUKIT PANJANG,103.77304,1.36674,CK,CHOA CHU KANG,103.74719,1.38555,180,BPCK,9,21,2.33,12
3430,2/2/18,0:00:00,BS,BISHAN,103.84042,1.35496,AM,ANG MO KIO,103.8421,1.38009,159,BSAM,12,20,1.67,8
3454,2/2/18,0:00:00,BS,BISHAN,103.84042,1.35496,SG,SERANGOON,103.86782,1.3652,54,BSSG,8,27,3.38,19
3478,2/2/18,0:00:00,BS,BISHAN,103.84042,1.35496,TP,TOA PAYOH,103.86106,1.33668,146,BSTP,10,32,3.20,22
4003,2/2/18,0:00:00,BT,BUKIT TIMAH,103.79069,1.32999,BK,BUKIT BATOK,103.75474,1.35565,54,BTBK,11,31,2.82,20
4026,2/2/18,0:00:00,BT,BUKIT TIMAH,103.79069,1.32999,BP,BUKIT PANJANG,103.77304,1.36674,41,BTBP,15,46,3.07,31
4044,2/2/18,0:00:00,BT,BUKIT TIMAH,103.79069,1.32999,CL,CLEMENTI,103.76074,1.3176,74,BTCL,9,34,3.78,25
4068,2/2/18,0:00:00,BT,BUKIT TIMAH,103.79069,1.32999,QT,QUEENSTOWN,103.78434,1.28916,92,BTQT,13,41,3.15,28
4092,2/2/18,0:00:00,BT,BUKIT TIMAH,103.79069,1.32999,TN,TANGLIN,103.8175,1.30828,72,BTTN,11,31,2.82,20
4648,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,AM,ANG MO KIO,103.8421,1.38009,43,CHAM,25,84,3.36,59
4665,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,144,CHBD,12,46,3.83,34
4689,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,BM,BUKIT MERAH,103.82311,1.27548,43,CHBM,21,78,3.71,57
4709,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,DT,DOWNTOWN CORE,103.8543,1.28508,62,CHDT,20,69,3.45,49
4729,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,GL,GEYLANG,103.88953,1.3209,96,CHGL,21,63,3.00,42
4752,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,HG,HOUGANG,103.8898,1.36364,68,CHHG,18,56,3.11,38
4773,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,KL,KALLANG,103.86643,1.31033,78,CHKL,20,60,3.00,40
4793,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,PG,PUNGGOL,103.91004,1.40536,63,CHPG,16,52,3.25,36
4812,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,PR,PASIR RIS,103.9483,1.37862,173,CHPR,10,35,3.50,25
4836,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,QT,QUEENSTOWN,103.78434,1.28916,46,CHQT,26,98,3.77,72
4854,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,SE,SENGKANG,103.8877,1.39127,72,CHSE,18,65,3.61,47
4874,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,SG,SERANGOON,103.86782,1.3652,42,CHSG,23,64,2.78,41
4890,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,238,CHTM,6,38,6.33,32
4914,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,WD,WOODLANDS,103.78771,1.44068,59,CHWD,29,98,3.38,69
4934,2/2/18,0:00:00,CH,CHANGI,103.99782,1.35081,YS,YISHUN,103.83756,1.41544,55,CHYS,27,75,2.78,48
5234,2/2/18,0:00:00,CK,CHOA CHU KANG,103.74719,1.38555,BK,BUKIT BATOK,103.75474,1.35565,100,CKBK,14,34,2.43,20
5258,2/2/18,0:00:00,CK,CHOA CHU KANG,103.74719,1.38555,BP,BUKIT PANJANG,103.77304,1.36674,163,CKBP,9,19,2.11,10
5282,2/2/18,0:00:00,CK,CHOA CHU KANG,103.74719,1.38555,SK,SUNGEI KADUT,103.75747,1.41807,63,CKSK,11,30,2.73,19
5306,2/2/18,0:00:00,CK,CHOA CHU KANG,103.74719,1.38555,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,63,CKWC,15,58,3.87,43
5767,2/2/18,0:00:00,CL,CLEMENTI,103.76074,1.3176,BK,BUKIT BATOK,103.75474,1.35565,49,CLBK,12,30,2.50,18
5791,2/2/18,0:00:00,CL,CLEMENTI,103.76074,1.3176,BT,BUKIT TIMAH,103.79069,1.32999,88,CLBT,12,38,3.17,26
5815,2/2/18,0:00:00,CL,CLEMENTI,103.76074,1.3176,JE,JURONG EAST,103.73479,1.32044,108,CLJE,9,16,1.78,7
5839,2/2/18,0:00:00,CL,CLEMENTI,103.76074,1.3176,QT,QUEENSTOWN,103.78434,1.28916,140,CLQT,6,30,5.00,24
6325,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,AM,ANG MO KIO,103.8421,1.38009,65,DTAM,21,38,1.81,17
6348,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,BD,BEDOK,103.92841,1.32405,111,DTBD,18,35,1.94,17
6372,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,BM,BUKIT MERAH,103.82311,1.27548,136,DTBM,13,28,2.15,15
6396,2/2/18,0:00:00,DT,DOWNTOWN CORE,103.8543,1.28508,BT,BUKIT TIMAH,103.79069,1.32999,50,DTBT,16,46,2.88,30
