,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference,popup
685,2/2/18,5:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,502,BDCH,10,56,5.6,46,bedok > changi: 502
1539,2/2/18,5:00:00,BK,BUKIT BATOK,103.75474,1.35565,PN,PIONEER,103.67299,1.31259,782,BKPN,19,51,2.68,32,bukit batok > pioneer: 782
8712,2/2/18,5:00:00,JE,JURONG EAST,103.73479,1.32044,TS,TUAS,103.63072,1.28389,1193,JETS,24,72,3,48,jurong east > tuas: 1193
9312,2/2/18,5:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,1216,JWPN,21,54,2.57,33,jurong west > pioneer: 1216
9334,2/2/18,5:00:00,JW,JURONG WEST,103.70487,1.3416,TS,TUAS,103.63072,1.28389,1052,JWTS,20,60,3,40,jurong west > tuas: 1052
9355,2/2/18,5:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,593,JWQT,16,48,3,32,jurong west > queenstown: 593
14544,2/2/18,5:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,518,PRCH,6,50,8.33,44,pasir ris > changi: 518
19546,2/2/18,5:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,795,TMCH,10,56,5.6,46,tampines > changi: 795
21383,2/2/18,5:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,1362,TSPN,30,95,3.17,65,tuas > pioneer: 1362
21403,2/2/18,5:00:00,TS,TUAS,103.63072,1.28389,SB,SEMBAWANG,103.81883,1.45575,618,TSSB,37,101,2.73,64,tuas > sembawang: 618
182,2/2/18,6:00:00,AM,ANG MO KIO,103.8421,1.38009,BM,BUKIT MERAH,103.82311,1.27548,558,AMBM,18,53,2.94,35,ang mo kio > bukit merah: 558
686,2/2/18,6:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,1115,BDCH,10,56,5.6,46,bedok > changi: 1115
904,2/2/18,6:00:00,BD,BEDOK,103.92841,1.32405,QT,QUEENSTOWN,103.78434,1.28916,861,BDQT,23,60,2.61,37,bedok > queenstown: 861
1498,2/2/18,6:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,784,BKJW,21,71,3.38,50,bukit batok > jurong west: 784
1540,2/2/18,6:00:00,BK,BUKIT BATOK,103.75474,1.35565,PN,PIONEER,103.67299,1.31259,763,BKPN,19,51,2.68,32,bukit batok > pioneer: 763
1574,2/2/18,6:00:00,BK,BUKIT BATOK,103.75474,1.35565,TS,TUAS,103.63072,1.28389,555,BKTS,28,109,3.89,81,bukit batok > tuas: 555
1648,2/2/18,6:00:00,BK,BUKIT BATOK,103.75474,1.35565,BM,BUKIT MERAH,103.82311,1.27548,522,BKBM,20,56,2.8,36,bukit batok > bukit merah: 522
3045,2/2/18,6:00:00,BP,BUKIT PANJANG,103.77304,1.36674,QT,QUEENSTOWN,103.78434,1.28916,682,BPQT,19,55,2.89,36,bukit panjang > queenstown: 682
4896,2/2/18,6:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,621,CHTM,6,38,6.33,32,changi > tampines: 621
5447,2/2/18,6:00:00,CK,CHOA CHU KANG,103.74719,1.38555,TS,TUAS,103.63072,1.28389,919,CKTS,23,90,3.91,67,choa chu kang > tuas: 919
